english,chinese,korean,japanese,
Battle Royale,大逃杀,,
Grave-digging,掘墓重生,,
Bubble Squirter,泡沫小龟,,
Swift Shellback,水龟勇士,,
Sentient Seaking,军师龟主,,
Crystal Snapper,水晶蜥蜴,,
Battleclad Gasdon,重甲毒蜴,,
Redhaired Paladin,红发骑士,,
Firesworn Godblade,烈焰剑客,,
Ritual Hatchling,小黑魔龙,,
Hellbringer,末日吼龙,,
Hoofed Lush,丛林人马,,
Dionysian Tosspot,酒醉仙马,,
Seahorse Squire,海马绅士,,
Trident Battlemage,深海战斗士,,
Sneerblade,冷笑魔鬼,,
Timewarp Kingpin,跨时魔鬼,,
Lux,日光精灵,,
Thunderous Desperado,雷神龙,,
Cereboarus,嗜血野兽,,
Guppea,怜愐小鱼,,
Rhynokarp,独角鲤鱼,,
Pricklepillar,毒刺毛虫,,
Adderspine Weevil,毒刺象鼻虫,,
POWER Siphoner,吸力大机士,,
MegaPUNK,超级小机器人,,
CHAR-BOT-451,焚书机-451,,
INFERNO-902,炸弹机-902,,
Lil' Rusty,生锈机器人,,
Thief of Night,深夜行者,,
The Seven,邪教仪式,,
Bestowed Vigor,恩赐活力,,
Dusk Dweller,黄昏幼骷龙,,
Talusreaver,骷龙爵士,,
Krul～ Phantom Skullcrusher,酷儿‧幽冥骷龙,,
Blue Gipsy-V3,蓝吉卜赛 机-V3,,
Frostland THRASHER-8,霜地超级机-8,,
Cyber Sentinel,电击哨兵,,
PAL_V1,V1朋友机,,
Terratank,岩石战车机,,
Sabre～ Crystalline Dragon,赛拉‧水晶龙,,
Firesmith Apprentice,火匠学徒,,
Forgemech,火匠高手,,
Lighthunter,光明射手,,
Bringer of Dawn,黎明使者,,
Abyssal Eel,深渊巨鳗,,
Emilia Airheart,爱米丽·飞侠,,
Pearl Nymph,珍珠仙女,,
Tara～ Swan Princess,塔菈‧天鹅公主,,
Frostspore,寒霜孢子,,
Shurikana,手里剑女,,
Starbabe,星剑宝宝,,
Angelic Egg,天使蛋,,
Cursed Egg,咒语蛋,,
Foxy Apprentice,灵狐学徒,,
Kunari～ Tamer of Shadows,可纳丽‧阴阳使者,,
Culyssa,可丽莎,,
Arc Knight,傀儡骑士,,
Armored Warden,重甲守卫,,
Graveyard Guardian,墓地护卫,,
Woodland Shaman,林地萨满,,
Cinderbrush Shaman,火原萨满,,
Floatwood,浮木精,,
Shields Up!,举起护盾！,,
Condemn!,恶灵诅咒,,
Hold the Gates,护守城门,,
Blessing of Fortune,祈福,,
Nature’s Resurgence,山林复出,,
Pulled to the Depths,一网打尽,,
Necromancer’s Bond,亡灵法师的契约,,
Warden’s Outpost,典狱长的哨塔,,
Imp Stomping Ground,恶魔集中营,,
Infernal Stormbeacon,风暴指挥塔,,
Royal Barracks,皇家军营,,
Training Yard,射箭训练场,,
Highland Stables,高原马厩,,
Goblin Sentry Tower,地精前哨,,
Forestry Mound,林山土冢,,
Relentless Windmill,无止的风车,,
Dwarven Forge,侏儒炼器场,,
Damned Obelisk,诅咒方碑,,
Goldenvalley Mine,金矿,,
Ethereal Portal,异次元之门,,
Frostland Tombstone,霜地墓碑,,
Hobgoblin Hostel,怪物客栈,,
Cliffside Vista,悬岩壮景,,
Applebeard,苹果胡子,,
Saplet,走地苗,,
Treelet,小树苗,,
Meadow Sprite,草原精灵,,
Leona the Summoner,丽娜召唤师,,
Bipolar Yeti,双极雪人,,
Charming Imp,迷人恶魔,,
Frostbeard's Dirk,霜胡子的短剑,,
Breakneck Evolution,快速创新,,
Piercing Lightspear,穿刺神矛,,
Necromancer's Tecpatl,方士复活刀,,
Timebank Tower,时控塔,,
Holy Incubation,神圣孵化,,
Divine Cataclysm,神圣灾难,,
Nourishing Honey,,,
Dark Pact,,,
Unsettling Seafood,,,
Swift Decapitation,疾速斩首,,
Shipfairing Wisdom,海盗智慧,,
Stonescale Curse,,,
Celestial Palette,天堂品味,,
Mutant Replication,,,
Refreshments!,上精美茶点！,,
Moonlight Theft,,,
Accursed Firestar,末日流行,,
Seafaring Cutlass,航海短剑,,
Crackling Fireball,,,
Ignite,,,
